LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
Beta-279281,2250,50,,,-,CMR,Kribi-Mpolongwe,15,Pit,,2.93,9.912,,-,Malongo/Bissiang,-,-,,Ia,,Nlend Nlend 2013/2014
Beta-279282,2280,40,,,-,CMR,Kribi-Mpolongwe,22,Pit,,2.93,9.912,,-,Malongo/Bissiang,-,-,,Ia,,Nlend Nlend 2013/2014
Beta-279283,2410,50,,,-,CMR,Kribi-Mpolongwe,23,Pit,,2.93,9.912,,-,Malongo/Bissiang; Bwambé/Mpoengu,-,Eg,,Ia,,Nlend Nlend 2013/2014: 257 Tab. 44
Beta-279284,2610,50,,,-,CMR,Kribi-Mpolongwe,31,Pit,,2.93,9.912,,-,Malongo/Bissiang,-,-,,Ia,,Nlend Nlend 2013/2014
Beta-279285,1850,40,,,-,CMR,Kribi-Mpolongwe,-,Pit,-,2.93,9.912,,-,indet,-,-,,Ib,,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
Beta-279286,2450,40,,,-,CMR,Kribi-Mpolongwe,36,Pit,,2.93,9.912,,-,Malongo/Bissiang,-,Eg,,Ia,,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
Beta-282417,1240,40,,,Sediment_wet,CAF,Bodingue,-,Pollencore,2.5,3.629,16.836,,-,-,-,,-,IIIc,,Kiahtipes et al. 2011
Beta-282418,480,40,,,Sediment_wet,CAF,Bodingue,-,Pollencore,1.2,3.629,16.836,,-,-,-,,-,IIIc,,Kiahtipes et al. 2011
Beta-282419,270,40,,,Sediment_wet,CAF,Bodingue,-,Pollencore,0.6,3.629,16.836,,-,-,-,,-,IIIc,,Kiahtipes et al. 2011
Beta-282420,1690,40,,,-,CAF,Poutem,P02-01/Pos C,Pit,0.72,4.002,17.308,,(indet),indet,-,,-,Ib,,"Kiahtipes et al. 2011; Lupo et al. 2018: 7 Tab. 1, 8"
Beta-282421,1140,40,,,-,CAF,Boua,Z13-10; Pos B,Trench,0.76,4.08,17.042,,-,indet,slag,,-,Ib,,Kiahtipes et al. 2011; Lupo et al. 2018: 7 Tab. 1
Beta-287971,220,40,,,-,CAF,Poutem,P01-03.1,Pit,,4.043,17.33,,(indet),indet,-,-,,Ib,,Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 7 Tab. 1
Beta-287972,1230,40,,,-,CAF,Boua,Z05; Pos B,Pit,0.7,4.08,17.042,,-,indet,slag,,-,Ib,,Kiahtipes et al. 2011; Lupo et al. 2018: 7 Tab. 1
Beta-28828,970,80,,,Charcoal_wood,GAB,"Mina, Leconi",-,slag mound,-,-1.584,14.259,,-,indet,slag; tuyère,,-,Ib,"interpretation Clist: Archéologie, Age du Fer Récent","Pincon 1991a: 249 Tab. 1; Pincon 1991b: 30 Tab. 1; Clist 2004/2005: Annex 2"
Beta-292440,1340,30,,,-,COG,Lac Ndembo,20N/17E,-,0.35,-4.355,11.653,,-,Spaced Curvilinear,-,,-,Ia,,Denbow 2012: 387 Tab. 1
Beta-292441,1250,30,,,-,COG,Lac Ndembo,20N/19E,-,0.45,-4.355,11.653,,-,Spaced Curvilinear,-,,-,Ia,,Denbow 2012: 387 Tab. 1
Beta-292442,1610,40,,,-,COG,Lac Ndembo,20N/40W,-,0.35,-4.355,11.653,,-,Carinated Broadly Grooved,-,,-,Ia,,Denbow 2012: 387 Tab. 1
Beta-295430,7060,40,,,Charcoal_wood,COD,Kisala Singa,KS9,Pedoanthracological trench,0.95,-4.763,13.007,,-,-,-,,-,IIb,,Hubau et al. 2015
Beta-295431,7180,40,,,Charcoal_wood,COD,Kisala Singa,KS9,Pedoanthracological trench,1.05,-4.763,13.007,,-,-,-,,-,IIb,double date within spit,Hubau et al. 2015
Beta-296113,1670,40,-26.9,,-,GNQ,Nanda/Corisco,15,Deposit,,0.917,9.317,,-,Oveng,slag?,-,,Ia,,Gonzalez Ruibal et al. 2011; Sánchez-Elipe et al. 2016: 352 Tab. 2
